o: ok	x: distinct	?: unsure																								
Total: 30 pairs																										
Annotator1	Annotator2	Annotator3	Annotator4	Annotator5	Annotator6	Comments	Entity1	Entity2	Entity1 more information	Entity2 more information																
	x	x	?			class mismatch	US Air Force 3.5m Starfire Optical Range Telescope at Kirkland airforce base	Air Force Maui Optical and Supercomputing Site https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.amos_1.0.xml	US Air Force 3.5m Starfire Optical Range Telescope at Kirkland airforce base. Is part of: kirkland-airforce-base. Location: North America, Hawaii. Also known as: US Air Force 3.5m Starfire Optical Range (SOR) Telescope, US Air Force 3.5m Starfire Optical Range (SOR) Telescope at Kirkland airforce base. Code: SOR:3.5m. Continent: North America. Continent code: NA. Size: 3.5m. Waveband: optical.	Air Force Maui Optical and Supercomputing Site. Also known as: Air Force Maui Optical and Supercomputing Site (AMOS), Air Force Maui Optical and Supercomputing Site (AMOS). Code: urn:nasa:pds:context:facility:observatory.amos. Address: 535 Lipoa Parkway Suite 200 Kihei, HI 96753. Country: USA. Url: https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.amos_1.0.xml.																
	x		x			not the same diameter	US Department of Defense 3.67m Advanced Electro Optical System at Haleakala Observatory	Ground-based Electro-Optical Deep Space Surveillance https://pds.nasa.gov/data/pds4/context-pds4/telescope/amos.geodss_1.0.xml	US Department of Defense 3.67m Advanced Electro Optical System at Haleakala Observatory. Is part of: haleakala-observatory. Latitude: 20.707724. Location: North America, Hawaii. Longitude: -156.2573222. Also known as: US Department of Defense (DoD) 3.67m Advanced Electro Optical System (AEOS), US Department of Defense (DoD) 3.67m Advanced Electro Optical System (AEOS) at Haleakala Observatory. Code: AEOS. Continent: North America. Address: Haleakala Observatory, Skyline Trail, Maui County, Hawaii, United States. Country: United States. Size: 3.67m. Waveband: infrared, optical.	Ground-based Electro-Optical Deep Space Surveillance. Description: The Ground-based Electro-Optical Deep Space Surveillance (GEODSS is a 1.0 m telescope located at 20.708010, 203.742400 at the Air Force Maui Optical and Supercomputing Site (AMOS). Ground-based Electro-Optical Deep Space Surveillance (GEODSS) 1.0 m telescope at the Air Force Maui Optical and Supercomputing Site (AMOS) in Haleakala, Maui, HI.. Is part of: air-force-maui-optical-and-supercomputing-site. Latitude: 20.70801. Location: Earth. Longitude: 203.7424. Also known as: Ground-based Electro-Optical Deep Space Surveillance (GEODSS). Code: urn:nasa:pds:context:telescope:amos.geodss. Continent: North America. Address: Skyline Trail, Maui County, Hawaii, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/amos.geodss_1.0.xml. Altitude: 3040. Aperture: 1.0. Coordinate source: Astronomical.																
	x	x	?			class mismatch	US Air Force 1.5m Starfire Optical Range Telescope at Kirkland airforce base	Air Force Maui Optical and Supercomputing Site https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.amos_1.0.xml	US Air Force 1.5m Starfire Optical Range Telescope at Kirkland airforce base. Is part of: kirkland-airforce-base. Location: North America, Hawaii. Also known as: US Air Force 1.5m Starfire Optical Range (SOR) Telescope at Kirkland airforce base, US Air Force 1.5m Starfire Optical Range (SOR) Telescope. Code: SOR:1.5m. Continent: North America. Continent code: NA. Size: 1.5m. Waveband: optical.	Air Force Maui Optical and Supercomputing Site. Also known as: Air Force Maui Optical and Supercomputing Site (AMOS), Air Force Maui Optical and Supercomputing Site (AMOS). Code: urn:nasa:pds:context:facility:observatory.amos. Address: 535 Lipoa Parkway Suite 200 Kihei, HI 96753. Country: USA. Url: https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.amos_1.0.xml.																
	x		x			not the same country (Ukraine and India)	Aryabhatta Research Institute of Observational sciences 1m Sampurnanand Telescope at ARIES	Chuguev Observational Station https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.chuguev_1.0.xml	Aryabhatta Research Institute of Observational sciences 1m Sampurnanand Telescope at ARIES. Is part of: aries. Location: Asia. Also known as: Aryabhatta Research Institute of Observational sciences (ARIES) 1m Sampurnanand Telescope, Aryabhatta Research Institute of Observational sciences (ARIES) 1m Sampurnanand Telescope at ARIES. Code: ARIES:ST. Continent: Asia. Continent code: AS. Size: 1m. Waveband: optical.	Chuguev Observational Station. Has part: 70-cm-azt-8. Also known as: Chuguev (a.k.a. Chuguevskaya, Chuhuiv) Observational Station. Code: urn:nasa:pds:context:facility:observatory.chuguev. Address: Observatory of the Institute of Astronomy of Kharkiv National University. Country: Ukraine. Url: https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.chuguev_1.0.xml.																
	x		x			class mismatch	Korea Astronomy and Space Science Institute 1.6m telescopes of Korea Microlensing Telescope Network	KOREAN PATHFINDER LUNAR ORBITER https://pds.nasa.gov/data/pds4/context-pds4/instrument_host/spacecraft.kplo_1.0.xml https://pds.nasa.gov/data/pds4/context-pds4/investigation/mission.kplo_1.2.xml	Korea Astronomy and Space Science Institute 1.6m telescopes of Korea Microlensing Telescope Network. Location: Earth. Also known as: Korea Astronomy and Space Science Institute 1.6m telescopes of Korea Microlensing Telescope Network (KMTNet). Code: KMTNet. Size: 1.6m. Waveband: optical.	Korea Pathfinder Lunar Orbiter. Description: KPLO (Korea Pathfinder Lunar Orbiter), or Danuri (ë¤ëë¦¬), is the first Korea robotic lunar probe expected to carry out a lunar observation mission at a nominal orbiting altitude of ~100 km from the Moon. It is a cooperative project between the Korea Aerospace Research Institute (KARI), which will oversee the system, main body of the orbiter, and ground station, and a Korea university, research institutes, and NASA supporting the payloads, deep space communication, and navigation technology. The KPLO spa. Has part: kplo.luti, kplo.shc, korea-aerospace-research-institute-kplo-spacecraft, kplo.kgrs, kplo.kmag, kplo.polcam. Is part of: korea-pathfinder-lunar-orbiter. Also known as: Korea Pathfinder Lunar Orbiter (Danuri). Code: urn:kari:kpds:context:investigation:mission.kplo, urn:kari:kpds:context:instrument_host:spacecraft.kplo. Stop date: 2024-08-04 00:00:00. Start date: 2022-08-04 00:00:00. Url: https://pds.nasa.gov/data/pds4/context-pds4/instrument_host/spacecraft.kplo_1.0.xml, https://pds.nasa.gov/data/pds4/context-pds4/investigation/mission.kplo_1.2.xml. Naif id: -155. KOREAN PATHFINDER LUNAR ORBITER. Also known as: KPLO. Code: -155.																
	o		o				Padova Observatory 1.82m Copernico Telescope at Asiago Astrophysical Observatory	Copernico 1.82m Telescope https://pds.nasa.gov/data/pds4/context-pds4/telescope/asiago.copernico1m82_1.0.xml	Padova Observatory 1.82m Copernico Telescope at Asiago Astrophysical Observatory. Is part of: asiago-astrophysical-observatory. Location: Europe. Also known as: Padova Observatory 1.82m Copernico Telescope. Code: Asiago:Copernico. Continent: Europe. Continent code: EU. Size: 1.82m. Waveband: optical.	Copernico 1.82m Telescope. Description: The Copernico 1.82m Telescope is a 1.82 m telescope located at 45.843400, 11.571400 at the Asiago Astrophysical Observatory. The Asiago 1.82m telescope, inaugurated in 1973 and dedicated to N. Copernicus, is a classic Cassegrain reflector. It is the main observing facility at the observing site of Cima Ekar (1350m) of the Asiago Astrophysical Observatory.. Is part of: asiago-astrophysical-observatory. Latitude: 45.8434. Location: Earth. Longitude: 11.5714. Code: urn:nasa:pds:context:telescope:asiago.copernico1m82. Continent: Europe. Address: Via Prof. Leonida Rosino, Asiago, Vicenza, Veneto, 36012, Italy. Country: Italy. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/asiago.copernico1m82_1.0.xml. Altitude: 1350. Aperture: 1.82. Coordinate source: Astronomical.																
	x		x		x	class mismatch	Smithsonian Astrophysical Observatory 10 m Whipple atmospheric Cherenkov Telescope at Fred Lawrence Whipple Observatory	Fred L. Whipple Observatory https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.flwo_1.0.xml	Smithsonian Astrophysical Observatory 10 m Whipple atmospheric Cherenkov Telescope at Fred Lawrence Whipple Observatory. Is part of: fred-lawrence-whipple-observatory. Location: North America, Hawaii. Also known as: Smithsonian Astrophysical Observatory (SAO) 10 m Whipple atmospheric Cherenkov Telescope at Fred Lawrence Whipple Observatory (FLWO), Smithsonian Astrophysical Observatory (SAO) 10 m Whipple atmospheric Cherenkov Telescope. Code: FLWO:10m. Continent: North America. Continent code: NA. Size: 10m. Waveband: gamma-ray.	Fred L. Whipple Observatory. Code: urn:nasa:pds:context:facility:observatory.flwo. Address: Harvard-Smithsonian Center for Astrophysics P.O. Box 97 Amado, Arizona. Country: USA. Url: https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.flwo_1.0.xml.																
	o		o		o		Observatoire de Haute-Provence	Observatory of Haute-Provence https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.haute-provence_1.0.xml	Observatoire de Haute-Provence. Has part: centre-national-de-la-recherche-scientifique-1.93m-telescope-at-observatoire-de-haute-provence, centre-national-de-la-recherche-scientifique-1.2m-telescope-at-observatoire-de-haute-provence, centre-national-de-la-recherche-scientifique-1.52m-telescope-at-observatoire-de-haute-provence, centre-national-de-la-recherche-scientifique-0.8m-telescope-at-observatoire-de-haute-provence. Also known as: Observatoire de Haute-Provence (OHP), OHP.	Observatory of Haute-Provence. Code: urn:nasa:pds:context:facility:observatory.haute-provence. Address: St. Michel l'Observatoire, F-04300 Forcalquier. Country: France. Url: https://pds.nasa.gov/data/pds4/context-pds4/facility/observatory.haute-provence_1.0.xml.																
	o		o		o		California Institute of Technology 5.1m Hale Telescope at Palomar Observatory	Hale 5.08m Telescope https://pds.nasa.gov/data/pds4/context-pds4/telescope/palomar.hale_5m08_2.0.xml	California Institute of Technology 5.1m Hale Telescope at Palomar Observatory. Is part of: palomar-observatory. Latitude: 33.3539758. Location: North America, Hawaii. Longitude: -116.8613743. Also known as: California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory, California Institute of Technology 5.1m (200inch) Hale Telescope. Code: Hale. Continent: North America. Address: 18-inch Schmidt Telescope, 200-inch Catwalk, San Diego County, California, 92060, United States. Country: United States. Size: 5.1m. Waveband: infrared, optical.	Hale 5.08m Telescope. Description: Operational 11/1949+. Is part of: palomar-observatory. Latitude: 33.35622. Location: Earth. Longitude: 243.136009. Also known as: 5.08-m Hale Cassegrain reflector. Code: urn:nasa:pds:context:telescope:palomar.hale_5m08. Continent: North America. Address: San Diego County, California, 92060, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/palomar.hale_5m08_2.0.xml. Altitude: 1706. Aperture: 5.08. Coordinate source: Geodetic - North American (1927) datum.																
	x		x		x	class mismatch	NASA Solar Radiation and Climate Experiment satellite mission	Venus Climate Orbiter Akatsuki Spacecraft	NASA Solar Radiation and Climate Experiment satellite mission. Location: Space. Also known as: NASA Solar Radiation and Climate Experiment (SORCE) satellite mission. Code: SORCE. Observed object: solar facility. Waveband: infrared, optical, uv, x-ray.	Venus Climate Orbiter Akatsuki Spacecraft. Code: urn:jaxa:darts:context:instrument_host:spacecraft.vco.																
